Security Code,Security Name,Company Name,Ex Date,Purpose,Record Date,BC Start Date, BC End Date	,ND Start Date,ND End Date,Actual Payment Date
500173,GFLLIMITED,GFL Ltd,20 Sep 2007,Final Dividend - Rs. - 1.0000,-,24 Sep 2007,29 Sep 2007,17 Sep 2007,21 Sep 2007,-
500173,GFLLIMITED,GFL Ltd,03 Jan 2008,Interim Dividend - Rs. - 3.0000,04 Jan 2008,-,-,28 Dec 2007,03 Jan 2008,-
500173,GFLLIMITED,GFL Ltd,01 Feb 2008,-,08 Feb 2008,-,-,01 Feb 2008,07 Feb 2008,-
500173,GFLLIMITED,GFL Ltd,10 Apr 2008,Interim Dividend - Rs. - 1.0000,11 Apr 2008,-,-,04 Apr 2008,10 Apr 2008,-
500173,GFLLIMITED,GFL Ltd,11 Sep 2008,Dividend - Rs. - 1.0000,-,15 Sep 2008,20 Sep 2008,08 Sep 2008,12 Sep 2008,-
500173,GFLLIMITED,GFL Ltd,18 Jun 2009,Final Dividend - Rs. - 3.5000,-,22 Jun 2009,29 Jun 2009,15 Jun 2009,19 Jun 2009,-
500173,GFLLIMITED,GFL Ltd,13 Nov 2009,Interim Dividend - Rs. - 1.0000,16 Nov 2009,-,-,09 Nov 2009,13 Nov 2009,-
500173,GFLLIMITED,GFL Ltd,05 Feb 2010,Interim Dividend - Rs. - 1.0000,08 Feb 2010,-,-,01 Feb 2010,06 Feb 2010,-
500173,GFLLIMITED,GFL Ltd,06 Jul 2010,Final Dividend - Rs. - 1.5000,-,08 Jul 2010,10 Jul 2010,30 Jun 2010,07 Jul 2010,-
500173,GFLLIMITED,GFL Ltd,10 Feb 2011,Interim Dividend - Rs. - 1.0000,11 Feb 2011,-,-,04 Feb 2011,10 Feb 2011,-
500173,GFLLIMITED,GFL Ltd,07 Jul 2011,Final Dividend - Rs. - 2.5000,-,11 Jul 2011,15 Jul 2011,04 Jul 2011,08 Jul 2011,-
500173,GFLLIMITED,GFL Ltd,16 Dec 2011,Interim Dividend - Rs. - 2.0000,19 Dec 2011,-,-,12 Dec 2011,16 Dec 2011,-
500173,GFLLIMITED,GFL Ltd,19 Jul 2012,Final Dividend - Rs. - 1.5000,-,23 Jul 2012,27 Jul 2012,16 Jul 2012,20 Jul 2012,-
500173,GFLLIMITED,GFL Ltd,08 Feb 2013,Interim Dividend - Rs. - 1.5000,11 Feb 2013,-,-,04 Feb 2013,08 Feb 2013,-
500173,GFLLIMITED,GFL Ltd,14 Aug 2013,Final Dividend - Rs. - 2.0000,-,19 Aug 2013,23 Aug 2013,08 Aug 2013,16 Aug 2013,-
500173,GFLLIMITED,GFL Ltd,01 Sep 2014,Dividend - Rs. - 3.5000,-,03 Sep 2014,10 Sep 2014,26 Aug 2014,02 Sep 2014,-
500173,GFLLIMITED,GFL Ltd,21 Sep 2015,Final Dividend - Rs. - 3.5000,-,23 Sep 2015,29 Sep 2015,15 Sep 2015,22 Sep 2015,-
500173,GFLLIMITED,GFL Ltd,17 Mar 2016,Interim Dividend - Rs. - 3.5000,19 Mar 2016,-,-,14 Mar 2016,17 Mar 2016,-
500173,GFLLIMITED,GFL Ltd,14 Sep 2017,Dividend - Rs. - 3.5000,-,16 Sep 2017,28 Sep 2017,11 Sep 2017,14 Sep 2017,-
500173,GFLLIMITED,GFL Ltd,23 Aug 2018,Dividend - Rs. - 3.5000,-,25 Aug 2018,31 Aug 2018,16 Aug 2018,23 Aug 2018,-
500173,GFLLIMITED,GFL Ltd,06 Aug 2019,Spin Off ,07 Aug 2019,-,-,31 Jul 2019,06 Aug 2019,-
500173,GFLLIMITED,GFL Ltd,11 Sep 2019,Dividend - Rs. - 3.5000,-,13 Sep 2019,18 Sep 2019,05 Sep 2019,12 Sep 2019,-
500173,GFLLIMITED,GFL Ltd,26 Mar 2021,Spin Off ,30 Mar 2021,-,-,23 Mar 2021,26 Mar 2021,-
