Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open,Unix Date,Code,Company
2022-03-10,2180.0,2180.0,2142.95,2155.9,2156.8756966728592,5921,652,12770861.0,1750,29.56,37.05000000000018,-24.09999999999991,1646870400.0,500002,ABB INDIA LIMITED
2022-03-10,203.0,204.7,193.0,194.45,200.25079064757142,144818,2521,28999919.0,54721,37.79,11.699999999999989,-8.550000000000011,1646870400.0,500003,AEGIS LOGISTICS LTD
2022-03-10,578.0,583.5,571.7,574.75,576.8078579117331,57598,1634,33222979.0,19066,33.1,11.799999999999955,-3.25,1646870400.0,500008,AMARA RAJA BATTERIES LTD
2022-03-10,32.75,33.95,32.05,32.7,33.029347014475995,207585,726,6856397.0,154326,74.34,1.9000000000000057,-0.04999999999999716,1646870400.0,500009,AMBALAL SARABHAI ENTERPRISES LTD
2022-03-10,2299.0,2299.0,2206.85,2238.9,2248.0754652191713,75717,6611,170217530.0,41012,54.16,92.15000000000009,-60.09999999999991,1646870400.0,500010,HOUSING DEVELOPMENT FINANCE CORPLTD
2022-03-10,102.35,103.65,98.95,101.05,102.30644421944498,397038,1610,40619546.0,172932,43.56,4.700000000000003,-1.2999999999999972,1646870400.0,500012,ANDHRA PETROCHEMICALS LTD
2022-03-10,14.75,14.8,14.3,14.5,14.562522462084003,41737,56,607796.0,39741,95.22,0.5,-0.25,1646870400.0,500013,ANSAL PROPERTIES  INFRASTRUCTURE LTD
2022-03-10,6.69,6.69,6.69,6.69,6.689994390126623,49912,78,333911.0,49912,100.0,0.0,0.0,1646870400.0,500014,UTIQUE ENTERPRISES LTD
2022-03-10,10.37,10.37,9.7,10.09,10.077975004528165,22084,70,222562.0,17252,78.12,0.6699999999999999,-0.27999999999999936,1646870400.0,500016,ARUNA HOTELS LTD
2022-03-10,102.4,103.25,100.0,100.7,101.73757044271653,301841,3024,30708570.0,52842,17.51,3.25,-1.7000000000000028,1646870400.0,500020,BOMBAY DYEING  MFGCOLTD
2022-03-10,80.0,80.0,77.25,77.25,77.72970843183609,1269,83,98639.0,1231,97.01,2.75,-2.75,1646870400.0,500023,ASIAN HOTELS NORTH LIMITED
2022-03-10,9184.1,9187.8,8901.05,8947.35,9022.434833430741,1711,861,15437386.0,356,20.81,286.75,-236.75,1646870400.0,500027,ATUL LTD
2022-03-10,11.1,11.19,10.75,11.17,11.176747702686983,17194,74,192173.0,17194,100.0,0.4399999999999995,0.07000000000000028,1646870400.0,500028,ATV PROJECTS INDIA LTD
2022-03-10,1115.0,1115.0,1001.7,1008.7,1034.9929046807106,18181,2085,18817206.0,7844,43.14,113.29999999999995,-106.29999999999995,1646870400.0,500031,BAJAJ ELECTRICALS LTD
2022-03-10,16.1,16.44,15.35,15.56,16.139535290701183,4857101,5446,78391353.0,2026955,41.73,1.0900000000000016,-0.5400000000000009,1646870400.0,500032,BAJAJ HINDUSTHAN SUGAR LIMITED
2022-03-10,1039.95,1060.3,1020.1,1028.5,1033.9183673469388,4753,798,4914214.0,3034,63.83,40.19999999999993,-11.450000000000045,1646870400.0,500033,FORCE MOTORS LTD
2022-03-10,6799.0,6799.0,6501.0,6583.5,6674.100571529652,237433,24556,1584651721.0,141724,59.69,298.0,-215.5,1646870400.0,500034,BAJAJ FINANCE LIMITED
2022-03-10,452.0,462.0,444.15,449.05,453.55568326423383,170527,3673,77343490.0,26792,15.71,17.850000000000023,-2.9499999999999886,1646870400.0,500038,BALRAMPUR CHINI MILLS LTD
2022-03-10,141.5,143.15,138.0,139.1,140.07195507195507,14245,605,1995325.0,8140,57.14,5.150000000000006,-2.4000000000000057,1646870400.0,500039,BANCO PRODUCTS INDIA LTD
2022-03-10,751.6,813.95,747.05,790.45,779.9761714309772,47506,2679,37053548.0,16389,34.5,66.90000000000009,38.85000000000002,1646870400.0,500040,CENTURY TEXTILES  INDUSTRIES LTD
