Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open,Unix Date,Code,Company
2021-07-05,1804.0,1804.0,1762.9,1774.0,1774.512436320048,6674.0,897.0,11843096.0,2758.0,41.32,41.09999999999991,-30.0,1625443200.0,500002.0,ABB INDIA LIMITED
2021-07-05,357.0,359.75,347.5,349.55,353.5907588720388,32377.0,1499.0,11448208.0,15163.0,46.83,12.25,-7.449999999999989,1625443200.0,500003.0,AEGIS LOGISTICS LTD
2021-07-05,750.0,753.15,747.05,749.85,750.0193160813309,32460.0,1658.0,24345627.0,13329.0,41.06,6.100000000000023,-0.14999999999997726,1625443200.0,500008.0,AMARA RAJA BATTERIES LTD
2021-07-05,33.5,33.9,32.5,32.95,33.14025337540241,437059.0,2625.0,14484246.0,380091.0,86.97,1.3999999999999986,-0.5499999999999972,1625443200.0,500009.0,AMBALAL SARABHAI ENTERPRISES LTD
2021-07-05,2492.0,2499.0,2472.0,2494.8,2483.9729797426344,31939.0,1811.0,79335613.0,16801.0,52.6,27.0,2.800000000000182,1625443200.0,500010.0,HOUSING DEVELOPMENT FINANCE CORPLTD
2021-07-05,122.5,125.45,120.0,125.45,124.5839439869225,548729.0,2383.0,68362823.0,443878.0,80.89,5.450000000000003,2.950000000000003,1625443200.0,500012.0,ANDHRA PETROCHEMICALS LTD
2021-07-05,8.25,8.3,7.95,8.19,8.175419999357553,31131.0,79.0,254509.0,31131.0,100.0,0.35000000000000053,-0.0600000000000005,1625443200.0,500013.0,ANSAL PROPERTIES  INFRASTRUCTURE LTD
2021-07-05,3.25,3.25,3.25,3.25,3.249914334665905,8755.0,48.0,28453.0,8755.0,100.0,0.0,0.0,1625443200.0,500014.0,UTIQUE ENTERPRISES LTD
2021-07-05,15.96,15.96,15.96,15.96,15.96,1500.0,2.0,23940.0,1500.0,100.0,0.0,0.0,1625443200.0,500016.0,ARUNA HOTELS LTD
2021-07-05,85.0,88.7,85.0,87.55,87.11310390671382,394142.0,2486.0,34334933.0,98912.0,25.1,3.700000000000003,2.549999999999997,1625443200.0,500020.0,BOMBAY DYEING  MFGCOLTD
2021-07-05,92.8,93.95,89.45,89.55,90.8348623853211,436.0,38.0,39604.0,381.0,87.39,4.5,-3.25,1625443200.0,500023.0,ASIAN HOTELS NORTH LIMITED
