Security Code,Issuer Name,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument
530063,,YASHRAJC,YASHRAJ CONTAINEURS LTD,Active,X ,10.0,INE095C01018,Containers & Packaging,Equity
530065,,LORDSHOTL,LORDS ISHWAR HOTELS LIMITED,Active,XT,10.0,INE689J01013,Hotels,Equity
530067,,CSLFINANCE,CSL FINANCE LTD,Active,X ,10.0,INE718F01018,Finance (including NBFCs),Equity
530073,,SANGHVIMOV,SANGHVI MOVERS LTD,Active,B ,2.0,INE989A01024,Transport Related Services,Equity
530075,,SELAN,SELAN EXPLORATION TECHNOLOGY LTD,Active,B ,10.0,INE818A01017,Exploration & Production,Equity
530077,,FRSHTRP*,FRESHTROP FRUITS LTD,Active,X ,10.0,INE795D01011,Other Agricultural Products,Equity
530079,,FAZE3Q,FAZE THREE LTD,Active,X ,10.0,INE963C01033,Textiles,Equity
530095,,PRADHIN,PRADHIN LTD,Active,X ,10.0,INE656B01019,Iron & Steel/Interm.Products,Equity
530109,,ANUPAM,ANUPAM FINSERV LTD,Active,X ,10.0,INE069B01015,Finance (including NBFCs),Equity
530111,,RAJPACK,RAJ PACKAGING INDUSTRIES LTD,Active,X ,10.0,INE639C01013,Containers & Packaging,Equity
530117,,PRIVISCL,PRIVI SPECIALITY CHEMICALS LTD,Active,A ,10.0,INE959A01019,Specialty Chemicals,Equity
530119,,NATRAJPR,NATRAJ PROTEINS LTD,Active,XT,10.0,INE444D01016,Edible Oils,Equity
530125,,SAMRATPH,SAMRAT PHARMACHEM LTD,Active,X ,10.0,INE103E01016,Pharmaceuticals,Equity
530127,,NPRFIN,NPR FINANCE LTD,Active,X ,10.0,INE446D01011,Other Financial Services,Equity
530129,,NILE,NILE LTD,Active,X ,10.0,INE445D01013,Iron & Steel Products,Equity
530131,,UDAICEMENT,UDAIPUR CEMENT WORKS LTD,Active,X ,4.0,INE225C01029,Cement & Cement Products,Equity
530133,,AMCOIND,AMCO INDIA LTD,Active,X ,10.0,INE924B01011,Fibres & Plastics,Equity
530135,,OPTIEMUS,OPTIEMUS INFRACOM LTD,Active,B ,10.0,INE350C01017,Telecom Equipment,Equity
530141,,GYANDEV,GYAN DEVELOPERS  BUILDERS LTD,Active,X ,10.0,INE487G01018,Realty,Equity
530145,,KISAN,KISAN MOULDINGS LTD,Active,XT,10.0,INE017C01012,Plastic Products,Equity
530151,,VIJAYTX,VIJAY TEXTILES LTD,Active,X ,10.0,INE256G01033,Comm.Trading  & Distribution,Equity
530161,,GARODCH,GARODIA CHEMICALS LTD,Active,P ,10.0,INE236P01010,Comm.Trading  & Distribution,Equity
530163,,KERALAYUR,KERALA AYURVEDA LTD,Active,X ,10.0,INE817B01025,Pharmaceuticals,Equity
530167,,MONGIPA,MOONGIPA CAPITAL FINANCE LTD,Active,XT,10.0,INE153K01018,Finance (including NBFCs),Equity
530169,,MOHITPPR,MOHIT PAPER MILLS LTD,Active,X ,10.0,INE388C01017,Paper & Paper Products,Equity
530171,,DAULAT,DAULAT SECURITIES LTD,Active,XT,10.0,INE108C01019,Other Financial Services,Equity
530173,,OSCARGLO,OSCAR GLOBAL LTD,Active,XT,10.0,INE473F01010,Other Apparels & Accessories,Equity
530175,,ODYSSEY,ODYSSEY TECHNOLOGIES LTD,Active,X ,10.0,INE213B01019,IT Software Products,Equity
530177,,SPSINT,SPS INTERNATIONAL LTD,Active,X ,10.0,INE758B01013,Comm.Trading  & Distribution,Equity
530179,,RSCINT,RSC INTERNATIONAL LTD,Active,XT,10.0,INE015F01019,Textiles,Equity
530185,,SURATEX,SURAT TEXTILE MILLS LTD,Active,X ,1.0,INE936A01025,Textiles,Equity
530187,,ATHARVENT,ATHARV ENTERPRISES LTD,Active,XT,10.0,INE354E01031,Finance (including NBFCs),Equity
530197,,FUNDVISER,FUNDVISER CAPITAL INDIA LTD,Active,XT,10.0,INE365H01014,Investment Companies,Equity
530199,,THEMISMED,THEMIS MEDICARE LTD,Active,B ,10.0,INE083B01016,Pharmaceuticals,Equity
530201,,KALLAM,KALLAM TEXTILES LTD,Active,X ,2.0,INE629F01025,Textiles,Equity
530207,,BRAWN,BRAWN BIOTECH LTD,Active,XT,10.0,INE899B01015,Pharmaceuticals,Equity
530213,,FORINTL,FORTUNE INTERNATIONAL LTD,Active,XT,10.0,INE501D01013,Comm.Trading  & Distribution,Equity
